2010 Federal Election Senate First Preferences By State By Vote Type  [Event:15508 Phase:FinalResults Generated:2013-01-22T15:02:58 Cycle:109e02bb-5f15-4808-984f-b47255b191fb Created:2013-01-22T14:55:43 Environment:PROD Site:PARKES Server:NTR01 Version:6.0.10.10009]
StateAb,Ticket,CandidateID,BallotPosition,CandidateDetails,PartyName,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes
ACT,A,22049,0,A Ticket Votes,Australian Labor Party,67959,1084,398,3960,2517,75918
ACT,A,21065,1,"LUNDY, Kate Alexandra",Australian Labor Party,14404,228,58,1041,622,16353
ACT,A,21072,2,"MATHEWS, David",Australian Labor Party,1191,24,9,87,57,1368
ACT,B,22050,0,B Ticket Votes,Australian Democrats,2178,41,13,186,109,2527
ACT,B,21758,1,"CHURCHILL, Darren Mark",Australian Democrats,1068,11,9,81,62,1231
ACT,B,21760,2,"DAVID, Anthony John",Australian Democrats,260,8,2,18,11,299
ACT,C,22048,0,C Ticket Votes,The Greens,27942,633,171,1914,936,31596
ACT,C,20838,1,"HATFIELD DODDS, Lin",The Greens,17010,291,81,1086,536,19004
ACT,C,20840,2,"PARRIS, Hannah",The Greens,1638,39,9,175,85,1946
ACT,D,22047,0,D Ticket Votes,Liberal,56683,816,282,3465,2799,64045
ACT,D,20813,1,"HUMPHRIES, Gary",Liberal,10169,127,40,620,575,11531
ACT,D,20814,2,"WATTS, Matthew",Liberal,739,12,5,81,50,887
ACT,UG,21966,1,"GLYNN, John",Independent,2288,39,8,125,107,2567
NSW,A,22214,0,A Ticket Votes,Socialist Alliance,20303,968,175,445,305,22196
NSW,A,21446,1,"EVANS, Rachel",Socialist Alliance,904,106,16,48,57,1131
NSW,A,21449,2,"ISKANDER, Soubhi",Socialist Alliance,55,3,1,3,3,65
NSW,B,22230,0,B Ticket Votes,,1194,83,23,45,33,1378
NSW,B,22023,1,"HODGES, Robert",,94,9,1,4,12,120
NSW,B,22024,2,"FRIER, Bob",,20,3,0,0,0,23
NSW,C,22224,0,C Ticket Votes,,793,67,13,52,27,952
NSW,C,21904,1,"ROBINSON, Tony",,51,5,3,5,3,67
NSW,C,21907,2,"SELBY, Noel",,12,2,0,0,2,16
NSW,D,22215,0,D Ticket Votes,,1600,56,12,80,34,1782
NSW,D,21429,1,"HODGES, Darrin",,54,9,0,3,3,69
NSW,D,21430,2,"FOLKES, Nick",,11,0,0,0,2,13
NSW,E,22220,0,E Ticket Votes,Building Australia,8825,793,122,399,387,10526
NSW,E,21798,1,"BROWN, Ray",Building Australia,200,19,1,10,17,247
NSW,E,21799,2,"O'DONNELL, Michael",Building Australia,36,2,0,1,3,42
NSW,F,22212,0,F Ticket Votes,Senator On-Line,2200,151,24,85,70,2530
NSW,F,21465,1,"BAS, Wes",Senator On-Line,294,32,0,8,21,355
NSW,F,21470,2,"ROACH, Brianna",Senator On-Line,76,3,0,6,4,89
NSW,G,22222,0,G Ticket Votes,Communist,5541,440,62,287,160,6490
NSW,G,21787,1,"LAWLER, Geoff",Communist,376,27,3,19,35,460
NSW,G,21789,2,"KELLAWAY, Brenda Anne",Communist,39,5,0,0,5,49
NSW,H,22233,0,H Ticket Votes,,788,68,10,30,19,915
NSW,H,22021,1,"BLOOM, Nadia",,61,1,0,1,5,68
NSW,H,22022,2,"IRELAND, Bede",,19,2,0,1,6,28
NSW,I,22211,0,I Ticket Votes,Citizens Electoral Council of Australia,4854,315,71,180,141,5561
NSW,I,21031,1,"BUTLER, Robert H",Citizens Electoral Council of Australia,162,6,0,12,11,191
NSW,I,21037,2,"McCAFFREY, Ian David",Citizens Electoral Council of Australia,16,1,0,1,1,19
NSW,J,22219,0,J Ticket Votes,Australian Democrats,21735,1375,158,1235,1613,26116
NSW,J,21733,1,"CLANCY, Fiona",Australian Democrats,1725,132,6,105,121,2089
NSW,J,21736,2,"MITCHELL, Jen",Australian Democrats,156,13,0,8,16,193
NSW,K,22218,0,K Ticket Votes,,764,63,8,29,19,883
