2013 Federal Election Senate First Preferences By State By Vote Type  [Event:17496 Phase:FinalResults Generated:2014-10-28T11:23:17 Cycle:570ee0da-3d7a-4f7e-8aa1-3c32a4f287ed Created:2014-05-16T14:24:09 Environment:PROD Site:PARKES Server:ACT01 Version:9.1.17.21449],,,,,,,,,,,
StateAb,Ticket,CandidateID,BallotPosition,CandidateDetails,PartyName,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes
ACT,A,25070,0,A Ticket Votes,Animal Justice Party,1844,39,21,85,124,2113
ACT,A,24222,1,"FILLINGER, Marcus",Animal Justice Party,638,11,7,25,41,722
ACT,A,24225,2,"MONTAGNE, Jessica",Animal Justice Party,132,0,1,9,15,157
ACT,B,25067,0,B Ticket Votes,Katter's Australian Party,736,10,1,44,68,859
ACT,B,24114,1,"BAILEY, Steven",Katter's Australian Party,429,5,3,17,29,483
ACT,B,24120,2,"ARNOLD, Joe",Katter's Australian Party,65,3,0,1,5,74
ACT,C,25075,0,C Ticket Votes,Australian Greens,26509,411,102,1443,1139,29604
ACT,C,24907,1,"SHEIKH, Simon",Australian Greens,15605,228,66,671,598,17168
ACT,C,24912,2,"ESGUERRA, Indra",Australian Greens,618,15,6,79,63,781
ACT,D,25064,0,D Ticket Votes,Stable Population Party,376,7,0,15,16,414
ACT,D,23291,1,"O'CONNOR, Mark",Stable Population Party,457,1,1,19,20,498
ACT,D,23293,2,"GRAHAM, Greg",Stable Population Party,18,0,0,1,0,19
ACT,E,25065,0,E Ticket Votes,Bullet Train For Australia,2671,52,19,170,158,3070
ACT,E,23693,1,"BUCKNELL, Chris",Bullet Train For Australia,1587,19,6,83,73,1768
ACT,E,23694,2,"LEMMEY, Michael James",Bullet Train For Australia,201,1,1,14,11,228
ACT,F,25076,0,F Ticket Votes,Drug Law Reform,489,18,5,33,30,575
ACT,F,24919,1,"CUBITT, Paul",Drug Law Reform,270,8,3,19,15,315
ACT,F,24921,2,"DOWSON, Stacey",Drug Law Reform,19,1,0,1,3,24
ACT,G,25069,0,G Ticket Votes,Sex Party,5978,174,50,241,107,6550
ACT,G,24113,1,"AVERY, Deborah",Sex Party,1722,27,8,62,63,1882
ACT,G,24117,2,"MILLER, Jamie",Sex Party,165,3,0,11,5,184
ACT,H,25073,0,H Ticket Votes,Rise Up Australia Party,789,12,2,23,31,857
ACT,H,24700,1,"ROSS, Irwin",Rise Up Australia Party,432,5,2,14,27,480
ACT,H,24702,2,"HENRIQUEZ, Jose",Rise Up Australia Party,43,0,0,0,1,44
ACT,I,25068,0,I Ticket Votes,Voluntary Euthanasia Party,1926,27,4,66,173,2196
ACT,I,24125,1,"NITSCHKE, Philip",Voluntary Euthanasia Party,1535,9,5,58,98,1705
ACT,I,24127,2,"MACDOUGALL, Susan",Voluntary Euthanasia Party,56,1,0,2,3,62
ACT,J,25072,0,J Ticket Votes,Palmer United Party,3957,75,24,185,144,4385
ACT,J,24721,1,"SLATTERY, Wayne Kenneth",Palmer United Party,694,7,4,26,28,759
ACT,J,24725,2,"TEERMAN, Paul Gerard",Palmer United Party,61,1,0,2,5,69
ACT,K,25074,0,K Ticket Votes,Liberal,65757,798,225,3385,4045,74210
ACT,K,24925,1,"SESELJA, Zed",Liberal,5083,65,23,258,330,5759
ACT,K,24928,2,"NASH, Merinda",Liberal,1452,12,2,75,103,1644
ACT,L,25066,0,L Ticket Votes,Australian Labor Party,63821,943,316,3338,3197,71615
ACT,L,23761,1,"LUNDY, Kate",Australian Labor Party,11414,145,48,583,500,12690
ACT,L,23765,2,"SANT, Chris",Australian Labor Party,592,6,2,36,33,669
ACT,M,25071,0,M Ticket Votes,Australian Independents,1058,16,6,102,78,1260
ACT,M,24734,1,"FERNIE, Anthony Watson",Australian Independents,233,5,0,15,18,271
ACT,M,24736,2,"PETERSEN, Valma",Australian Independents,50,1,0,7,3,61
ACT,UG,24665,1,"EZEKIEL-HART, Emmanuel",Independent,467,7,0,22,22,518
NSW,A,25115,0,A Ticket Votes,Liberal Democrats,331705,24350,3663,21074,33379,414171
NSW,A,24801,1,"LEYONHJELM, David",Liberal Democrats,1221,93,17,88,172,1591
NSW,A,24803,2,"PETTETT, Jeffrey Marc",Liberal Democrats,97,12,0,7,23,139
NSW,B,25084,0,B Ticket Votes,No Carbon Tax Climate Sceptics,6253,485,93,336,505,7672
NSW,B,23432,1,"KOUTALIANOS, Bill",No Carbon Tax Climate Sceptics,169,14,4,7,25,219
NSW,B,23434,2,"McDOWALL, Mijina",No Carbon Tax Climate Sceptics,12,2,0,2,6,22
NSW,C,25085,0,C Ticket Votes,Democratic Labour Party (DLP),54341,3761,725,2744,4774,66345
NSW,C,24075,1,"McCAFFREY, Simon",Democratic Labour Party (DLP),964,65,7,24,80,1140
NSW,C,24076,2,"HANNA, Daniel John",Democratic Labour Party (DLP),47,8,0,4,5,64
NSW,D,25109,0,D Ticket Votes,Senator Online (Internet Voting Bills/Issues),1714,102,24,54,113,2007
NSW,D,24651,1,"FERGUSON, Tim",Senator Online (Internet Voting Bills/Issues),380,26,1,18,40,465
NSW,D,24652,2,"BARRY, Tony",Senator Online (Internet Voting Bills/Issues),11,1,2,1,0,15
NSW,D,24654,3,"McKINNON, Don",Senator Online (Internet Voting Bills/Issues),12,2,1,0,0,15
NSW,E,25119,0,E Ticket Votes,Voluntary Euthanasia Party,10510,505,69,492,1885,13461
NSW,E,24809,1,"HIGSON, Shayne",Voluntary Euthanasia Party,922,30,1,37,188,1178
NSW,E,24810,2,"MULHALL, Loredana",Voluntary Euthanasia Party,41,2,0,1,10,54
